1;Bomba de agua;249643.0
2;Terminal de direccion;252382.0
3;Pastillas de freno;165962.0
4;Bujia;194496.0
5;Bateria;133128.0
6;Bomba de agua;228988.0
7;Bomba de agua;219858.0
8;Filtro de aceite;202604.0
9;Correa de distribucion;253282.0
10;Bujia;14697.0
11;Filtro de aceite;232230.0
12;Pastillas de freno;186422.0
13;Llanta;82811.0
14;Bomba de agua;96813.0
15;Rotula de suspension;217175.0
16;Buje de suspension;62513.0
17;Filtro de aire;143397.0
18;Filtro de aceite;169779.0
19;Correa de distribucion;151643.0
20;Pastillas de freno;150480.0
